State,Talent,Employment 2025,Employment Growth,Workforce Density,Demand Pressure,Projection Base,Projection 2034,Annual Openings,Projected Growth,Annual Openings Rate,Demand Intensity Percentile,Supply Density Percentile,Balance Index,Talent Balance,Skill 1,Skill 2,Skill 3,Skill 4
Alabama,Digital,57370,0.19,2.71%,6.32%,59800,64950,3780,8.61%,6.32%,41.17647059,45.09803922,-3.921568627,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Alabama,Technical,373080,0.17,17.65%,10.54%,387120,415290,40800,7.28%,10.54%,76.47058824,100,-23.52941176,Surplus,CAD / CAE,Embedded / Controls,Manufacturing / CNC,GIS / Infrastructure
Alaska,Digital,5500,7,1.69%,5.49%,4740,4720,260,-0.42%,5.49%,1.960784314,9.803921569,-7.843137255,Balanced,Software Engineering,Database / SQL,Cloud Computing,Cybersecurity
Alaska,Technical,35040,-0.48,10.76%,9.51%,36580,37720,3480,3.12%,9.51%,17.64705882,38.23529412,-20.58823529,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Arizona,Digital,106120,-1.56,3.28%,7.19%,109440,125880,7870,15.02%,7.19%,84.31372549,74.50980392,9.803921569,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Arizona,Technical,321360,0.47,9.92%,11.20%,337390,383740,37790,13.74%,11.20%,96.07843137,27.45098039,68.62745098,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Arkansas,Digital,27920,6,2.14%,6.77%,23350,26080,1580,11.69%,6.77%,66.66666667,25.49019608,41.17647059,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Arkansas,Technical,191780,-0.71,14.71%,10.66%,197330,208000,21030,5.41%,10.66%,82.35294118,88.23529412,-5.882352941,Balanced,CAD / CAE,Embedded / Controls,Maintenance / Reliability,Manufacturing / CNC
California,Digital,717740,-2.95,3.94%,6.99%,743400,844800,51950,13.64%,6.99%,72.54901961,84.31372549,-11.76470588,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
California,Technical,1618370,-0.99,8.89%,9.61%,1668900,1710200,160450,2.47%,9.61%,29.41176471,17.64705882,11.76470588,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Colorado,Digital,136010,-0.02,4.73%,8.52%,136460,173950,11630,27.47%,8.52%,100,92.15686275,7.843137255,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Colorado,Technical,280470,1.67,9.76%,10.46%,286440,318610,29960,11.23%,10.46%,74.50980392,25.49019608,49.01960784,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Connecticut,Digital,48210,-2.67,2.84%,6.41%,51520,55980,3300,8.66%,6.41%,52.94117647,50.98039216,1.960784314,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Connecticut,Technical,174150,0.74,as,10.28%,180310,194870,18530,8.07%,10.28%,66.66666667,29.41176471,37.25490196,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Manufacturing / CNC
Delaware,Digital,14490,-12.02,2.99%,6.34%,16410,17510,1040,6.70%,6.34%,43.1372549,54.90196078,-11.76470588,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Delaware,Technical,40910,-1.68,8.44%,10.16%,41240,43490,4190,5.46%,10.16%,58.82352941,9.803921569,49.01960784,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
District of Columbia,Digital,43050,-9.58,6.13%,5.72%,48590,49790,2780,2.47%,5.72%,3.921568627,98.03921569,-94.11764706,Surplus,Software Engineering,Database / SQL,Cloud Computing,Data Analytics / Data Science
District of Columbia,Technical,27520,8.69,3.92%,7.94%,24180,24330,1920,0.62%,7.94%,1.960784314,1.960784314,0,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Florida,Digital,301040,3.53,3.03%,7.59%,295640,348700,22440,17.95%,7.59%,88.23529412,62.74509804,25.49019608,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Florida,Technical,846310,-1.06,8.52%,10.87%,890990,988390,96850,10.93%,10.87%,94.11764706,13.7254902,80.39215686,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Georgia,Digital,170620,2.61,3.49%,6.79%,147850,164770,10040,11.44%,6.79%,68.62745098,76.47058824,-7.843137255,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Georgia,Technical,581570,0.09,11.90%,10.67%,580050,620920,61870,7.05%,10.67%,84.31372549,56.8627451,27.45098039,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Hawaii,Digital,12220,-9.95,1.95%,5.93%,14000,14680,830,4.86%,5.93%,19.60784314,15.68627451,3.921568627,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Hawaii,Technical,49050,2.81,7.82%,9.53%,49210,50670,4690,2.97%,9.53%,23.52941176,5.882352941,17.64705882,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Idaho,Digital,19570,4.26,2.28%,7.50%,18790,22190,1410,18.09%,7.50%,86.2745098,27.45098039,58.82352941,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Idaho,Technical,105040,4.68,12.25%,11.69%,132310,150390,15470,13.66%,11.69%,100,66.66666667,33.33333333,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability
Illinois,Digital,182560,2.29,2.99%,5.86%,178900,186980,10490,4.52%,5.86%,11.76470588,58.82352941,-47.05882353,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Illinois,Technical,703520,-1.53,11.54%,9.77%,723890,727400,70720,0.48%,9.77%,39.21568627,50.98039216,-11.76470588,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Manufacturing / CNC
Indiana,Digital,67640,-1.1,2.11%,7.08%,67680,76420,4790,12.91%,7.08%,82.35294118,21.56862745,60.78431373,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation
Indiana,Technical,544080,-1.18,17.00%,9.93%,562760,572700,55870,1.77%,9.93%,45.09803922,98.03921569,-52.94117647,Surplus,CAD / CAE,Embedded / Controls,Manufacturing / CNC,GIS / Infrastructure
