State,Talent,Employment_2025,Growth_2024_2025_pct,Workforce_Density_pct,Demand_Pressure_pct,Projection_Base,Projection_2034,Annual_Openings,Projected_Growth_pct,Annual_Openings_Rate_pct,Demand_Intensity_Pctl,Supply_Density_Pctl,Balance_Index,Talent_Balance
Alabama,Digital,57370,0.1921,2.7142,6.321070234113712,59800,64950,3780,8.612040133779274,6.321070234113712,41.17647058823529,45.09803921568628,-3.9215686274509878,Balanced
Alabama,Technical,373080,0.1665,17.6509,10.539367637941725,387120,415290,40800,7.276813391196524,10.539367637941725,76.47058823529412,100.0,-23.529411764705884,Surplus
Alaska,Digital,5500,7.0039,1.6893,5.485232067510549,4740,4720,260,-0.42194092827003704,5.485232067510549,1.9607843137254901,9.803921568627452,-7.843137254901961,Balanced
Alaska,Technical,35040,-0.4828,10.7627,9.513395297977038,36580,37720,3480,3.1164570803717817,9.513395297977038,17.647058823529413,38.23529411764706,-20.588235294117645,Surplus
Arizona,Digital,106120,-1.5584,3.2759,7.191154970760234,109440,125880,7870,15.021929824561408,7.191154970760234,84.31372549019608,74.50980392156863,9.803921568627445,Balanced
Arizona,Technical,321360,0.469,9.9203,11.20068763152435,337390,383740,37790,13.737810842052234,11.20068763152435,96.07843137254902,27.450980392156865,68.62745098039215,Shortage
Arkansas,Digital,27920,5.9985,2.1417,6.766595289079229,23350,26080,1580,11.691648822269807,6.766595289079229,66.66666666666666,25.49019607843137,41.17647058823529,Shortage
Arkansas,Technical,191780,-0.7144,14.7112,10.657274616125273,197330,208000,21030,5.407185932194802,10.657274616125273,82.35294117647058,88.23529411764706,-5.882352941176478,Balanced
California,Digital,717740,-2.9478,3.9407,6.988162496637072,743400,844800,51950,13.64003228410009,6.988162496637072,72.54901960784314,84.31372549019608,-11.764705882352942,Balanced
California,Technical,1618370,-0.9947,8.8855,9.614117083108635,1668900,1710200,160450,2.4746839235424423,9.614117083108635,29.411764705882355,17.647058823529413,11.764705882352942,Balanced
Colorado,Digital,136010,-0.0221,4.7326,8.522643998241243,136460,173950,11630,27.47325223508721,8.522643998241243,100.0,92.15686274509804,7.843137254901961,Balanced
Colorado,Technical,280470,1.6675,9.7592,10.459433040078201,286440,318610,29960,11.230973327747517,10.459433040078201,74.50980392156863,25.49019607843137,49.019607843137265,Shortage
Connecticut,Digital,48210,-2.6651,2.8423,6.40527950310559,51520,55980,3300,8.656832298136653,6.40527950310559,52.94117647058824,50.98039215686274,1.9607843137254974,Balanced
Connecticut,Technical,174150,0.7404,10.2672,10.276745604791747,180310,194870,18530,8.074981975486661,10.276745604791747,66.66666666666666,29.411764705882355,37.2549019607843,Shortage
Delaware,Digital,14490,-12.0219,2.9889,6.337599024984765,16410,17510,1040,6.703229737964667,6.337599024984765,43.13725490196079,54.90196078431373,-11.764705882352942,Balanced
Delaware,Technical,40910,-1.6823,8.4387,10.16003879728419,41240,43490,4190,5.455868089233751,10.16003879728419,58.82352941176471,9.803921568627452,49.01960784313726,Shortage
District of Columbia,Digital,43050,-9.5778,6.1332,5.72134183988475,48590,49790,2780,2.469643959662493,5.72134183988475,3.9215686274509802,98.0392156862745,-94.11764705882352,Surplus
District of Columbia,Technical,27520,8.6888,3.9207,7.94044665012407,24180,24330,1920,0.6203473945409321,7.94044665012407,1.9607843137254901,1.9607843137254901,0.0,Balanced
Florida,Digital,301040,3.532,3.0317,7.590312542281152,295640,348700,22440,17.94750372074145,7.590312542281152,88.23529411764706,62.745098039215684,25.490196078431374,Shortage
Florida,Technical,846310,-1.0638,8.5229,10.869931200125702,890990,988390,96850,10.93166028799426,10.869931200125702,94.11764705882352,13.725490196078432,80.39215686274508,Shortage
Georgia,Digital,170620,2.6101,3.4898,6.790666215759216,147850,164770,10040,11.44403111261414,6.790666215759216,68.62745098039215,76.47058823529412,-7.843137254901961,Balanced
Georgia,Technical,581570,0.0947,11.8951,10.666321868804413,580050,620920,61870,7.045944315145247,10.666321868804413,84.31372549019608,56.86274509803921,27.450980392156865,Shortage
Hawaii,Digital,12220,-9.9484,1.9473,5.928571428571429,14000,14680,830,4.857142857142849,5.928571428571429,19.607843137254903,15.686274509803921,3.9215686274509824,Balanced
Hawaii,Technical,49050,2.8086,7.8164,9.53058321479374,49210,50670,4690,2.966876651087169,9.53058321479374,23.52941176470588,5.88235294117647,17.64705882352941,Shortage
Idaho,Digital,19570,4.2621,2.2824,7.5039914848323575,18790,22190,1410,18.09473124002128,7.5039914848323575,86.27450980392157,27.450980392156865,58.82352941176471,Shortage
Idaho,Technical,105040,4.6841,12.2504,11.692237926082685,132310,150390,15470,13.6648779381755,11.692237926082685,100.0,66.66666666666666,33.33333333333334,Shortage
Illinois,Digital,182560,2.286,2.9937,5.863610955841252,178900,186980,10490,4.516489659027401,5.863610955841252,11.76470588235294,58.82352941176471,-47.05882352941177,Surplus
Illinois,Technical,703520,-1.5312,11.5367,9.769440108303748,723890,727400,70720,0.4848802994930068,9.769440108303748,39.21568627450981,50.98039215686274,-11.764705882352935,Balanced
Indiana,Digital,67640,-1.0967,2.1129,7.0774231678487,67680,76420,4790,12.913711583924359,7.0774231678487,82.35294117647058,21.568627450980394,60.784313725490186,Shortage
Indiana,Technical,544080,-1.1752,16.996,9.92785556898145,562760,572700,55870,1.7662946904541954,9.92785556898145,45.09803921568628,98.0392156862745,-52.941176470588225,Surplus
Iowa,Digital,38250,-2.3737,2.4531,6.4507904130545635,39220,42530,2530,8.439571647118814,6.4507904130545635,56.86274509803921,35.294117647058826,21.568627450980387,Shortage
Iowa,Technical,233170,-1.7238,14.9541,10.454337614831442,240570,252800,25150,5.083759404747057,10.454337614831442,72.54901960784314,90.19607843137256,-17.64705882352942,Surplus
Kansas,Digital,37910,-3.7817,2.6372,6.049101493292837,39510,42130,2390,6.63123259934193,6.049101493292837,29.411764705882355,43.13725490196079,-13.725490196078432,Balanced
